id,name,age,sex,type,profession
Birthday,My Best Friend's Birthday,1987,NA,2,movie
BP,Brad Pitt,1963,2,1,actor
BW,Bruce Willis,1955,2,1,actor
BWe,Bob Weinstein,1954,2,1,executiveprod
CC,Chris Centrella,NA,2,1,keygrip
CW,Christoph Waltz,1956,2,1,actor
DA,Dink Adams,NA,2,1,bestboygrip
DB,Dieter BÃ¤hr,NA,2,1,keygrip
DDV,Danny DeVito,1944,2,1,executiveprod
Death,Death Proof,2007,NA,2,movie
DH,David Heyman,1961,2,1,producer
Django,Django Unchained,2012,NA,2,movie
Dogs,Reservoir Dogs,1992,NA,2,movie
DY,Dong Yu,NA,2,1,executiveprod
EA,Elizabeth Avellan,1960,1,1,producer
EBW,E. Bennet Walsh,NA,2,1,executiveprod
ES,Erica Steinberg,NA,1,1,executiveprod
FS,Ferrell Shinnick,NA,2,1,keygrip
GA,Gerald Autin,NA,2,1,bestboygrip
GC,Gary Chhristie,NA,2,1,bestboygrip
GF,Greg Fausak,NA,2,1,bestboygrip
GK,Georgia Kacandes,NA,1,1,executiveprod
HA,Herb Ault,NA,2,1,keygrip
Hateful,The Hateful Eight,2015,NA,2,movie
HW,Harvey Weinstein,1952,2,1,executiveprod
Inglourious,Inglourious Basterds,2009,NA,2,movie
JC,Jeffrey Chan,NA,2,1,executiveprod
JS,Jim Shelton,NA,2,1,keygrip
KBONE,Kill Bill Vol. 1,2003,NA,2,movie
KBTWO,Kill Bill Vol. 2,2004,NA,2,movie
KK,Kurt Kornemann,NA,2,1,bestboygrip
KR,Kurt Russell,1951,2,1,actor
LB,Lawrence Bender,1957,2,1,producer
LDC,Leonardo DiCaprio,1974,2,1,actor
LP,Lloyd Phillips,NA,2,1,executiveprod
MD,Mark Davis,NA,2,1,keygrip
MHe,Monte Hellman,NA,2,1,executiveprod
MHa,Mark Hadland,NA,2,1,bestboygrip
MP,Markus Pluta,NA,2,1,bestboygrip
MS,Michael Shamberg,1945,2,1,executiveprod
MT,Miles Thomas,NA,2,1,bestboygrip
Once,Once Upon a Time in Hollywood,2019,NA,2,movie
PS,Pilar Savone,1971,1,1,producer
Pulp,Pulp Fiction,1994,NA,2,movie
QT,Quentin Tarantino,1963,2,1,producer
RC,Richard Caden,NA,2,1,bestboygrip
RG,Richard Gladstein,1961,2,1,executiveprod
RH,Reginald Hudlin,1961,2,1,producer
RM,Robbie Meckler,NA,2,1,bestboygrip
RR,Robert Rodriguez,1968,2,1,producer
RU,Ric Urbauer,NA,2,1,keygrip
RW,Ronna Wallace,NA,1,1,executiveprod
SLJ,Samuel L. Jackson,1948,2,1,actor
SMI,Shannon McIntosh,1964,1,1,executiveprod
SSe,Steve Serne,NA,2,1,bestboygrip
StS,Stacey Sher,1962,1,1,executiveprod
TR,Tim Roth,1961,2,1,actor
UT,Uma Thurman,1970,1,1,actor
ZB,Zoe Bell,1978,1,1,actor