from,to,weight
BP,BWE,1
BP,CC,1
BP,CW,1
BP,DB,1
BP,DH,1
BP,DY,1
BP,ES,1
BP,GK,1
BP,HW,1
BP,INGLOURIOUS,1
BP,JC,1
BP,KR,1
BP,LDC,1
BP,LP,1
BP,MHA,1
BP,MP,1
BP,ONCE,1
BP,QT,1
BP,SLJ,1
BP,SMI,1
BP,ZB,1
BW,DDV,1
BW,LB,1
BW,MD,1
BW,PULP,1
BW,RM,1
BW,SLJ,1
BW,TR,1
BW,UT,1
BWE,BP,1
BWE,CC,1
BWE,CW,1
BWE,DB,1
BWE,DEATH,1
BWE,EA,1
BWE,ES,4
BWE,FS,1
BWE,GA,1
BWE,GC,1
BWE,GF,1
BWE,GK,1
BWE,HA,1
BWE,HATEFUL,1
BWE,HW,6
BWE,INGLOURIOUS,1
BWE,JS,1
BWE,KBONE,1
BWE,KBTWO,1
BWE,KK,1
BWE,KR,2
BWE,LB,2
BWE,LP,1
BWE,MP,1
BWE,MS,1
BWE,PS,1
BWE,QT,1
BWE,RC,1
BWE,RG,1
BWE,RR,1
BWE,SLJ,4
BWE,SMI,3
BWE,SSE,1
BWE,STS,2
BWE,TR,1
BWE,UT,2
BWE,ZB,2
CC,BP,1
CC,BWE,1
CC,CW,1
CC,DH,1
CC,DJANGO,1
CC,DY,1
CC,GA,1
CC,GC,1
CC,HW,1
CC,JC,1
CC,KR,1
CC,LDC,2
CC,MHA,1
CC,MS,1
CC,ONCE,1
CC,PS,1
CC,QT,1
CC,RG,1
CC,SLJ,1
CC,SMI,2
CC,SSE,1
CC,STS,1
CC,ZB,2
CW,BP,1
CW,CC,1
CW,DB,1
CW,DJANGO,1
CW,ES,1
CW,GA,1
CW,HW,1
CW,INGLOURIOUS,1
CW,LB,1
CW,LDC,1
CW,LP,1
CW,MP,1
CW,MS,1
CW,PS,1
CW,RG,1
CW,SLJ,2
CW,SMI,1
CW,SSE,1
CW,STS,1
CW,ZB,1
DA,DOGS,1
DA,LB,1
DA,MHE,1
DA,MT,1
DA,RG,1
DA,RU,1
DA,RW,1
DA,TR,1
DB,BP,1
DB,BWE,1
DB,CW,1
DB,ES,1
DB,HW,1
DB,INGLOURIOUS,1
DB,LB,1
DB,LP,1
DB,MP,1
DB,SLJ,1
DDV,BW,1
DDV,LB,1
DDV,MD,1
DDV,MS,1
DDV,PULP,1
DDV,RM,1
DDV,SLJ,1
DDV,STS,1
DDV,TR,1
DDV,UT,1
DH,BP,1
DH,CC,1
DH,DY,1
DH,GK,1
DH,JC,1
DH,KR,1
DH,LDC,1
DH,MHA,1
DH,ONCE,1
DH,QT,1
DH,SMI,1
DH,ZB,1
DY,BP,1
DY,CC,1
DY,DH,1
DY,GK,1
DY,JC,1
DY,KR,1
DY,LDC,1
DY,MHA,1
DY,ONCE,1
DY,QT,1
DY,SMI,1
DY,ZB,1
EA,BWE,1
EA,DEATH,1
EA,ES,1
EA,FS,1
EA,HW,1
EA,JS,1
EA,KK,1
EA,KR,1
EA,QT,1
EA,RC,1
EA,RR,1
EA,SMI,1
EA,ZB,1
EBW,ES,1
EBW,GF,1
EBW,HA,1
EBW,KBTWO,1
EBW,LB,1
ES,BP,1
ES,BWE,4
ES,CW,1
ES,DB,1
ES,DEATH,1
ES,EA,1
ES,EBW,1
ES,FS,1
ES,GF,1
ES,HA,1
ES,HW,4
ES,INGLOURIOUS,1
ES,JS,1
ES,KBONE,1
ES,KBTWO,1
ES,KK,1
ES,LB,3
ES,LP,1
ES,MP,1
ES,QT,1
ES,RC,1
ES,RR,1
ES,SMI,1
FS,BWE,1
FS,DEATH,1
FS,EA,1
FS,ES,1
FS,HW,1
FS,JS,1
FS,KK,1
FS,KR,1
FS,QT,1
FS,RC,1
FS,RR,1
FS,SMI,1
FS,ZB,1
GA,BWE,1
GA,CC,1
GA,CW,1
GA,DJANGO,1
GA,HW,1
GA,LDC,1
GA,MS,1
GA,PS,1
GA,RG,1
GA,SLJ,1
GA,SMI,1
GA,SSE,1
GA,STS,1
GA,ZB,1
GC,BWE,1
GC,CC,1
GC,GK,1
GC,HA,1
GC,HATEFUL,1
GC,HW,1
GC,KR,1
GC,RG,1
GC,SLJ,1
GC,SMI,1
GC,STS,1
GC,TR,1
GC,ZB,1
GF,BWE,1
GF,EBW,1
GF,ES,1
GF,HA,1
GF,HW,1
GF,KBONE,1
GF,KBTWO,1
GF,LB,1
GF,SLJ,1
GF,UT,1
GK,BP,1
GK,BWE,1
GK,DH,1
GK,DY,1
GK,GC,1
GK,HA,1
GK,HATEFUL,1
GK,HW,1
GK,JC,1
GK,LDC,1
GK,MHA,1
GK,ONCE,1
GK,QT,1
GK,RG,1
GK,SMI,1
GK,STS,1
HA,BWE,1
HA,EBW,1
HA,ES,1
HA,GC,1
HA,GF,1
HA,GK,1
HA,HATEFUL,1
HA,HW,1
HA,KBONE,1
HA,KBTWO,1
HA,KR,1
HA,LB,1
HA,RC,1
HA,SLJ,1
HA,SMI,1
HA,STS,1
HA,TR,1
HA,UT,1
HA,ZB,1
HW,BP,1
HW,BWE,6
HW,CC,1
HW,CW,1
HW,DB,1
HW,EA,1
HW,ES,4
HW,FS,1
HW,GA,1
HW,GC,1
HW,GF,1
HW,GK,1
HW,HA,1
HW,HATEFUL,1
HW,INGLOURIOUS,1
HW,JS,1
HW,KBONE,1
HW,KBTWO,1
HW,KK,1
HW,LB,2
HW,LP,1
HW,MP,1
HW,MS,1
HW,PS,1
HW,QT,1
HW,RC,1
HW,RG,1
HW,RR,1
HW,SLJ,4
HW,SMI,3
HW,SSE,1
HW,STS,2
HW,TR,1
HW,UT,2
JC,BP,1
JC,CC,1
JC,DH,1
JC,DY,1
JC,GK,1
JC,KR,1
JC,LDC,1
JC,MHA,1
JC,ONCE,1
JC,QT,1
JC,SMI,1
JC,ZB,1
JS,BWE,1
JS,DEATH,1
JS,EA,1
JS,ES,1
JS,FS,1
JS,HW,1
JS,KK,1
JS,KR,1
JS,QT,1
JS,RC,1
JS,RR,1
JS,SMI,1
JS,ZB,1
KK,BWE,1
KK,DEATH,1
KK,EA,1
KK,ES,1
KK,FS,1
KK,HW,1
KK,JS,1
KK,KR,1
KK,QT,1
KK,RC,1
KK,RR,1
KK,SMI,1
KK,ZB,1
KR,BP,1
KR,BWE,2
KR,CC,1
KR,DEATH,1
KR,DH,1
KR,DY,1
KR,EA,1
KR,FS,1
KR,GC,1
KR,HA,1
KR,HATEFUL,1
KR,JC,1
KR,JS,1
KR,KK,1
KR,LDC,1
KR,MHA,1
KR,ONCE,1
KR,QT,2
KR,RC,1
KR,RG,1
KR,RR,1
KR,SLJ,1
KR,SMI,2
KR,TR,1
KR,ZB,3
LB,BP,1
LB,BW,1
LB,BWE,2
LB,CW,1
LB,DA,1
LB,DB,1
LB,DDV,1
LB,EBW,1
LB,ES,3
LB,GF,1
LB,HA,1
LB,HW,2
LB,INGLOURIOUS,1
LB,KBONE,1
LB,KBTWO,1
LB,LP,1
LB,MD,1
LB,MP,1
LB,MS,1
LB,MT,1
LB,PULP,1
LB,RM,1
LB,RU,1
LB,SLJ,3
LB,STS,1
LB,TR,2
LB,UT,2
CH,BIRTHDAY,1
LDC,BP,1
LDC,CC,2
LDC,CW,1
LDC,DH,1
LDC,DJANGO,1
LDC,DY,1
LDC,GA,1
LDC,GK,1
LDC,JC,1
LDC,KR,1
LDC,MHA,1
LDC,MS,1
LDC,ONCE,1
LDC,PS,1
LDC,QT,1
LDC,RG,1
LDC,RH,1
LDC,SLJ,2
LDC,SMI,2
LDC,SSE,1
LDC,STS,1
LDC,ZB,2
LP,BP,1
LP,BWE,1
LP,CW,1
LP,DB,1
LP,ES,1
LP,HW,1
LP,INGLOURIOUS,1
LP,LB,1
LP,MP,1
LP,SLJ,1
MD,BW,1
MD,DDV,1
MD,LB,1
MD,MS,1
MD,PULP,1
MD,RM,1
MD,SLJ,1
MD,STS,1
MD,TR,1
MD,UT,1
MHA,BP,1
MHA,CC,1
MHA,DH,1
MHA,DY,1
MHA,GK,1
MHA,JC,1
MHA,KR,1
MHA,LDC,1
MHA,ONCE,1
MHA,QT,1
MHA,SMI,1
MHA,ZB,1
MHE,DA,1
MHE,DOGS,1
MHE,MT,1
MHE,RG,1
MHE,RU,1
MHE,RW,1
MHE,TR,1
MP,BP,1
MP,BWE,1
MP,CW,1
MP,DB,1
MP,ES,1
MP,HW,1
MP,INGLOURIOUS,1
MP,LB,1
MP,LP,1
MP,SLJ,1
MS,BWE,1
MS,CC,1
MS,CW,1
MS,DDV,1
MS,DJANGO,1
MS,GA,1
MS,HW,1
MS,LB,1
MS,LDC,1
MS,MD,1
MS,PS,1
MS,RG,1
MS,RM,1
MS,SLJ,2
MS,SMI,1
MS,SSE,1
MS,STS,1
MS,ZB,1
MT,DA,1
MT,DOGS,1
MT,LB,1
MT,MHE,1
MT,RG,1
MT,RU,1
MT,RW,1
MT,TR,1
PS,BWE,1
PS,CC,1
PS,CW,1
PS,DJANGO,1
PS,GA,1
PS,HW,1
PS,LDC,1
PS,MS,1
PS,RG,1
PS,SLJ,1
PS,SMI,1
PS,SSE,1
PS,STS,1
PS,ZB,1
QT,BP,1
QT,BWE,1
QT,CC,1
QT,DEATH,1
QT,DH,1
QT,DY,1
QT,EA,1
QT,ES,1
QT,FS,1
QT,GK,1
QT,HW,1
QT,JC,1
QT,JS,1
QT,KK,1
QT,KR,2
QT,LDC,1
QT,MHA,1
QT,ONCE,1
QT,RC,1
QT,RR,1
QT,SMI,2
QT,ZB,2
RC,BWE,1
RC,DEATH,1
RC,EA,1
RC,ES,1
RC,FS,1
RC,HA,1
RC,HW,1
RC,JS,1
RC,KK,1
RC,KR,1
RC,QT,1
RC,RR,1
RC,SMI,1
RC,ZB,1
RG,BWE,1
RG,CC,1
RG,CW,1
RG,DA,1
RG,DJANGO,1
RG,DOGS,1
RG,GA,1
RG,GC,1
RG,GK,1
RG,HATEFUL,1
RG,HW,1
RG,KR,1
RG,LDC,1
RG,MHE,1
RG,MS,1
RG,MT,1
RG,PS,1
RG,RU,1
RG,RW,1
RG,SLJ,1
RG,SMI,1
RG,SSE,1
RG,STS,1
RG,TR,2
RG,ZB,1
RH,DJANGO,1
RH,LDC,1
RM,BW,1
RM,DDV,1
RM,LB,1
RM,MD,1
RM,MS,1
RM,PULP,1
RM,STS,1
RM,TR,1
RM,UT,1
RM,SLJ,1
RR,BWE,1
RR,DEATH,1
RR,EA,1
RR,ES,1
RR,FS,1
RR,HW,1
RR,JS,1
RR,KK,1
RR,KR,1
RR,QT,1
RR,RC,1
RR,SMI,1
RR,ZB,1
RU,DA,1
RU,DOGS,1
RU,LB,1
RU,MHE,1
RU,MT,1
RU,RG,1
RU,RW,1
RU,TR,1
RW,DA,1
RW,DOGS,1
RW,MHE,1
RW,MT,1
RW,RG,1
RW,RU,1
RW,TR,1
SLJ,BP,1
SLJ,BW,1
SLJ,BWE,4
SLJ,CC,1
SLJ,CW,2
SLJ,DB,1
SLJ,DDV,1
SLJ,DJANGO,1
SLJ,GA,1
SLJ,GC,1
SLJ,GF,1
SLJ,HA,1
SLJ,HATEFUL,1
SLJ,HW,4
SLJ,INGLOURIOUS,1
SLJ,KBONE,1
SLJ,KR,1
SLJ,LB,3
SLJ,LDC,1
SLJ,LP,1
SLJ,MD,1
SLJ,MP,1
SLJ,MS,2
SLJ,PS,1
SLJ,PULP,1
SLJ,RG,1
SLJ,RM,1
SLJ,SMI,2
SLJ,SSE,1
SLJ,TR,2
SLJ,UT,2
SLJ,ZB,2
SMI,BP,1
SMI,BWE,3
SMI,CC,2
SMI,CW,1
SMI,DEATH,1
SMI,DH,1
SMI,DJANGO,1
SMI,DY,1
SMI,EA,1
SMI,ES,1
SMI,FS,1
SMI,GA,1
SMI,GC,1
SMI,GK,1
SMI,HA,1
SMI,HATEFUL,1
SMI,HW,3
SMI,JC,1
SMI,JS,1
SMI,KK,1
SMI,KR,2
SMI,LDC,2
SMI,MHA,1
SMI,MS,1
SMI,ONCE,1
SMI,PS,1
SMI,QT,2
SMI,RC,1
SMI,RG,1
SMI,RR,1
SMI,SLJ,2
SMI,SSE,1
SMI,STS,2
SMI,TR,1
SMI,ZB,4
SSE,BWE,1
SSE,CC,1
SSE,CW,1
SSE,DJANGO,1
SSE,GA,1
SSE,HW,1
SSE,LDC,1
SSE,MS,1
SSE,PS,1
SSE,RG,1
SSE,SLJ,1
SSE,SMI,1
SSE,STS,1
SSE,ZB,1
STS,BWE,2
STS,CC,1
STS,CW,1
STS,DDV,1
STS,DJANGO,1
STS,GA,1
STS,GC,1
STS,GK,1
STS,HA,1
STS,HATEFUL,1
STS,HW,2
STS,LB,1
STS,LDC,1
STS,MD,1
STS,MS,1
STS,PS,1
STS,RG,1
STS,RM,1
STS,SMI,2
STS,SSE,1
STS,ZB,2
TR,BW,1
TR,BWE,1
TR,DA,1
TR,DDV,1
TR,DOGS,1
TR,GC,1
TR,HA,1
TR,HATEFUL,1
TR,HW,1
TR,KR,1
TR,LB,2
TR,MD,1
TR,MHE,1
TR,MT,1
TR,PULP,1
TR,RG,2
TR,RM,1
TR,RU,1
TR,RW,1
TR,SLJ,2
TR,SMI,1
TR,UT,1
TR,ZB,1
UT,BW,1
UT,BWE,2
UT,DDV,1
UT,GF,1
UT,HA,1
UT,HW,2
UT,KBONE,1
UT,KBTWO,1
UT,LB,2
UT,MD,1
UT,PULP,1
UT,RM,1
UT,SLJ,2
UT,TR,1
ZB,BWE,2
ZB,CC,2
ZB,CW,1
ZB,DEATH,1
ZB,DH,1
ZB,DJANGO,1
ZB,DY,1
ZB,EA,1
ZB,FS,1
ZB,GA,1
ZB,GC,1
ZB,HA,1
ZB,HATEFUL,1
ZB,JC,1
ZB,KK,1
ZB,KR,3
ZB,LDC,2
ZB,MHA,1
ZB,MS,1
ZB,ONCE,1
ZB,PS,1
ZB,QT,2
ZB,RC,1
ZB,RG,1
ZB,RR,1
ZB,SLJ,2
ZB,SMI,4
ZB,SSE,1
ZB,STS,2
ZB,JS,1